|   type | thread_id |                       thread_id |
|      0 |      5481 |                               3 |
|      4 |      5481 |                               1 |
|      0 |      5543 |                               4 |
|      0 |      5550 |                               4 |
|      0 |      5563 |                               3 |
|      0 |      5593 |                               1 |
|      0 |      5631 |                               3 |
|      0 |      5678 |                               5 |
|      3 |      5678 |                               4 |
|      4 |      5678 |                               1 |
|      5 |      5678 |                               1 |
|      0 |      5695 |                               2 |
|      2 |      5695 |                               1 |
|      0 |      5755 |                               5 |
|      3 |      5755 |                               1 |
|      0 |      5832 |                               3 |
|      3 |      5832 |                               2 |
|      0 |      5855 |                               4 |
|      0 |      5881 |                               2 |
|      0 |      5888 |                               4 |
|      3 |      5888 |                               2 |
|      5 |      5888 |                               1 |
|      0 |      5921 |                               3 |
|      3 |      5921 |                               1 |
|      0 |      5963 |                               4 |
|      2 |      5963 |                               2 |
|      3 |      5963 |                               2 |
|      0 |      5970 |                               4 |
|      3 |      5970 |                               1 |
|      8 |      5970 |                               1 |
|      0 |      6064 |                               2 |
|      3 |      6064 |                               3 |
|      8 |      6064 |                               1 |
|      0 |      6112 |                               1 |
|      0 |      6122 |                               5 |
|      3 |      6122 |                               1 |
|      8 |      6122 |                               1 |
|      0 |      6130 |                               4 |
|      3 |      6130 |                               3 |
|      0 |      6222 |                               3 |
|      3 |      6222 |                               1 |
|      6 |      6222 |                               1 |
|      4 |      6279 |                               1 |
|      0 |      6299 |                               1 |
|      0 |      6381 |                               2 |
|      3 |      6381 |                               1 |
|      0 |      6422 |                               3 |
|      2 |      6422 |                               1 |
|      5 |      6422 |                               1 |
|      0 |      6423 |                               1 |
|      0 |      6425 |                               1 |
|      2 |      6425 |                               1 |
|      6 |      6425 |                               1 |
|      0 |      6426 |                               2 |
|      3 |      6426 |                               3 |
|      0 |      6493 |                               2 |
|      2 |      6493 |                               2 |
|      3 |      6493 |                               1 |
|      8 |      6493 |                               1 |
|      0 |      6499 |                               1 |
|      3 |      6499 |                               1 |
|      0 |      6515 |                               2 |
|      2 |      6515 |                               1 |
|      3 |      6515 |                               1 |
|      0 |      6523 |                               5 |
|      3 |      6523 |                               1 |
|      3 |      6587 |                               1 |
|      0 |      6590 |                               2 |
|      1 |      6590 |                               1 |
|      3 |      6590 |                               1 |
|      0 |      6636 |                               7 |
|      2 |      6636 |                               1 |
|      8 |      6636 |                               1 |
|      0 |      6698 |                               1 |
|      2 |      6698 |                               2 |
|      4 |      6698 |                               1 |
|      0 |      6795 |                               1 |
|      2 |      6795 |                               1 |
|      3 |      6795 |                               2 |
|      0 |      6814 |                               1 |
|      1 |      6814 |                               2 |
|      3 |      6814 |                               1 |
|      0 |      6849 |                               2 |
|      3 |      6849 |                               2 |
|      0 |      6991 |                               4 |
|      3 |      6991 |                               1 |
|      0 |      7052 |                               1 |
|      2 |      7052 |                               1 |
|      3 |      7052 |                               1 |
|      8 |      7052 |                               1 |
|      0 |      7076 |                               1 |
|      0 |      7084 |                               3 |
|      3 |      7084 |                               1 |
|      2 |      7109 |                               3 |
|      4 |      7109 |                               2 |
